organism_name	lineage	taxonomy_id	bco_id	schema_version	bioproject	biosample	strain	genome_assembly_id	sample_name	instrument	isolate	collected_by	collection_date	geo_loc_name	isolation_source	lat_lon	culture_collection	host	host_age	host_description	host_disease	host_disease_outcome	host_disease_stage	host_health_state	host_sex	id_method	biosample_score
Escherichia coli	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000020	v1.4	PRJNA231221	SAMN06173362	FDAARGOS_349	GCA_002983645.1	FDAARGOS_349	NA	Not Applicable	USAMRIID < Bundeswehr Inst. Microbiology	2001	Germany	stool	Not Applicable	FDA:FDAARGOS_349	Homo sapiens	37Y	Missing	Hemolytic uremic syndrome	Missing	Missing	Missing	female	Phenotypic characterization	NA
Escherichia coli	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000020	v1.4	PRJNA231221	SAMN06173362	FDAARGOS_349	GCA_002983645.1	FDAARGOS_349	NA	Not Applicable	USAMRIID < Bundeswehr Inst. Microbiology	2001	Germany	stool	Not Applicable	FDA:FDAARGOS_349	Homo sapiens	37Y	Missing	Hemolytic uremic syndrome	Missing	Missing	Missing	female	Phenotypic characterization	NA
Escherichia coli	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000020	v1.4	PRJNA231221	SAMN06173306	FDAARGOS_293	GCA_002208865.2	FDAARGOS_293	NA	Not Applicable	George Washington University	41696	USA:DC	clinical isolate	Not Applicable	FDA:FDAARGOS_293	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Phenotypic identification	NA
Escherichia coli	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000020	v1.4	PRJNA231221	SAMN06173306	FDAARGOS_293	GCA_002208865.2	FDAARGOS_293	NA	Not Applicable	George Washington University	41696	USA:DC	clinical isolate	Not Applicable	FDA:FDAARGOS_293	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Phenotypic identification	NA
Escherichia coli	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000020	v1.4	PRJNA231221	SAMN03996288	FDAARGOS_144	GCA_002944935.1	FDAARGOS_144	NA	Not Applicable	Children's National Hospital	41719	USA:DC	urine	Not Applicable	FDA:FDAARGOS_144	Homo sapiens	21Y	Missing	Urinary tract infection	Missing	Missing	Missing	female	phenotypic identification	NA
Escherichia coli	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000020	v1.4	PRJNA231221	SAMN03996288	FDAARGOS_144	GCA_002944935.1	FDAARGOS_144	NA	Not Applicable	Children's National Hospital	41719	USA:DC	urine	Not Applicable	FDA:FDAARGOS_144	Homo sapiens	21Y	Missing	Urinary tract infection	Missing	Missing	Missing	female	phenotypic identification	NA
Escherichia coli	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000020	v1.4	PRJNA231221	SAMN03996288	FDAARGOS_144	GCA_002944935.1	FDAARGOS_144	NA	Not Applicable	Children's National Hospital	41719	USA:DC	urine	Not Applicable	FDA:FDAARGOS_144	Homo sapiens	21Y	Missing	Urinary tract infection	Missing	Missing	Missing	female	phenotypic identification	NA
Escherichia coli	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000020	v1.4	PRJNA231221	SAMN07312477	FDAARGOS_433	GCA_002589795.1	FDAARGOS_433	NA	Not Applicable	BC Centre for Disease Control	42339	Canada:BC	rectal	Not Applicable	FDA:FDAARGOS_433	Homo sapiens	Missing	Missing	Screening	Missing	Missing	Missing	Missing	Phenotypic and Molecular Methods	NA
Escherichia coli	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	ARGOS_000020	v1.4	PRJNA231221	SAMN07312477	FDAARGOS_433	GCA_002589795.1	FDAARGOS_433	NA	Not Applicable	BC Centre for Disease Control	42339	Canada:BC	rectal	Not Applicable	FDA:FDAARGOS_433	Homo sapiens	Missing	Missing	Screening	Missing	Missing	Missing	Missing	Phenotypic and Molecular Methods	NA
Influenza A virus	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus	11320	ARGOS_000020	v1.4	PRJNA917703	SAMN32803954		EPI_ISL_16868566	7961	NA	A/WA/07961/2022(H1N1)	UW Medicine	44896	USA	nasal swab	47.6062 N 122.3321 W		Homo sapiens			not collected						NA
Influenza A virus	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus	11320	ARGOS_000020	v1.4	PRJNA917703	SAMN32803968		EPI_ISL_16868571	31872	NA	A/WA/31872/2022(H3N2)	UW Medicine	44896	USA	nasal swab	47.6062 N 122.3321 W		Homo sapiens			not collected						NA
Candida albicans	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5476	ARGOS_000020	v1.4	PRJNA231221	SAMN11056371	FDAARGOS_656	GCA_014049485.1	FDAARGOS_656	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_656	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Candida albicans	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5476	ARGOS_000020	v1.4	PRJNA231221	SAMN11056371	FDAARGOS_656	GCA_014049485.1	FDAARGOS_656	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_656	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Candida albicans	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5476	ARGOS_000020	v1.4	PRJNA231221	SAMN11056371	FDAARGOS_656	GCA_014049485.1	FDAARGOS_656	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_656	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Candida albicans	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5476	ARGOS_000020	v1.4	PRJNA231221	SAMN11056371	FDAARGOS_656	GCA_014049485.1	FDAARGOS_656	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_656	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Candida albicans	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5476	ARGOS_000020	v1.4	PRJNA231221	SAMN11056371	FDAARGOS_656	GCA_014049485.1	FDAARGOS_656	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_656	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Candida albicans	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5476	ARGOS_000020	v1.4	PRJNA231221	SAMN11056371	FDAARGOS_656	GCA_014049485.1	FDAARGOS_656	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_656	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Candida parapsilosis	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000020	v1.4	PRJNA231221	SAMN11056368	FDAARGOS_653	GCA_014049495.1	FDAARGOS_653	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_653	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Candida parapsilosis	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000020	v1.4	PRJNA231221	SAMN11056368	FDAARGOS_653	GCA_014049495.1	FDAARGOS_653	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_653	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Candida parapsilosis	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000020	v1.4	PRJNA231221	SAMN11056368	FDAARGOS_653	GCA_014049495.1	FDAARGOS_653	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_653	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Candida parapsilosis	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000020	v1.4	PRJNA231221	SAMN11056368	FDAARGOS_653	GCA_014049495.1	FDAARGOS_653	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_653	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Candida parapsilosis	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000020	v1.4	PRJNA231221	SAMN11056366	FDAARGOS_651	GCA_014049455.1	FDAARGOS_651	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_651	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Candida parapsilosis	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000020	v1.4	PRJNA231221	SAMN11056366	FDAARGOS_651	GCA_014049455.1	FDAARGOS_651	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_651	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Candida parapsilosis	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000020	v1.4	PRJNA231221	SAMN11056366	FDAARGOS_651	GCA_014049455.1	FDAARGOS_651	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_651	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Candida parapsilosis	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000020	v1.4	PRJNA231221	SAMN11056366	FDAARGOS_651	GCA_014049455.1	FDAARGOS_651	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_651	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Candida parapsilosis	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000020	v1.4	PRJNA231221	SAMN11056366	FDAARGOS_651	GCA_014049455.1	FDAARGOS_651	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_651	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Candida parapsilosis	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000020	v1.4	PRJNA231221	SAMN11056366	FDAARGOS_651	GCA_014049455.1	FDAARGOS_651	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_651	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Candida parapsilosis	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000020	v1.4	PRJNA231221	SAMN11056367	FDAARGOS_652	GCA_014049445.1	FDAARGOS_652	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_652	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Candida parapsilosis	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000020	v1.4	PRJNA231221	SAMN11056367	FDAARGOS_652	GCA_014049445.1	FDAARGOS_652	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_652	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Candida parapsilosis	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000020	v1.4	PRJNA231221	SAMN11056367	FDAARGOS_652	GCA_014049445.1	FDAARGOS_652	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_652	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Candida parapsilosis	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000020	v1.4	PRJNA231221	SAMN11056367	FDAARGOS_652	GCA_014049445.1	FDAARGOS_652	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_652	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Candida parapsilosis	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000020	v1.4	PRJNA231221	SAMN11056365	FDAARGOS_650	GCA_014049585.1	FDAARGOS_650	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_650	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Candida parapsilosis	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000020	v1.4	PRJNA231221	SAMN11056365	FDAARGOS_650	GCA_014049585.1	FDAARGOS_650	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_650	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Candida parapsilosis	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000020	v1.4	PRJNA231221	SAMN11056365	FDAARGOS_650	GCA_014049585.1	FDAARGOS_650	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_650	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Candida parapsilosis	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Debaryomycetaceae; Candida/Lodderomyces clade; Candida	5480	ARGOS_000020	v1.4	PRJNA231221	SAMN11056365	FDAARGOS_650	GCA_014049585.1	FDAARGOS_650	NA	Not applicable	Children's National Hospital	Unknown	USA: DC	clinical isolate	Not applicable	FDA:FDAARGOS_650	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578667	USA-CDC-CAU-B19550		USA-CDC-CAU-B19550	NA		USA	44105	USA:Mid-Atlantic	urine	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578668	USA-CDC-CAU-B19554		USA-CDC-CAU-B19554	NA		USA	44105	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578669	USA-CDC-CAU-B19557		USA-CDC-CAU-B19557	NA		USA	44105	USA:Mid-Atlantic	blood	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578670	USA-CDC-CAU-B19808		USA-CDC-CAU-B19808	NA		USA	44105	USA:Mid-Atlantic	urine	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578721	USA-CDC-CAU-B20460		USA-CDC-CAU-B20460	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578722	USA-CDC-CAU-B20461		USA-CDC-CAU-B20461	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578727	USA-CDC-CAU-B20462		USA-CDC-CAU-B20462	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578725	USA-CDC-CAU-B20463		USA-CDC-CAU-B20463	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578724	USA-CDC-CAU-B20465		USA-CDC-CAU-B20465	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578726	USA-CDC-CAU-B20467		USA-CDC-CAU-B20467	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578720	USA-CDC-CAU-B20468		USA-CDC-CAU-B20468	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578723	USA-CDC-CAU-B20469		USA-CDC-CAU-B20469	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578728	USA-CDC-CAU-B20483		USA-CDC-CAU-B20483	NA		USA	44256	USA:Mid-Atlantic	Axilla and Groin	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578729	USA-CDC-CAU-B20536		USA-CDC-CAU-B20536	NA		USA	44256	USA:Mid-Atlantic	Peritoneal Fluid	Not collected		Homo sapiens			Not collected						NA
[Candida] auris	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; CUG-Ser1 clade; Metschnikowiaceae; Metschnikowiaceae incertae sedis; Candida/Metschnikowiaceae	498019	ARGOS_000020	v1.4	PRJNA940794	SAMN33578730	USA-CDC-CAU-B20537		USA-CDC-CAU-B20537	NA		USA	44287	USA:Mid-Atlantic	blood	Not collected		Homo sapiens			Not collected						NA
