organism_name	infraspecific_name	lineage	genome_assembly_id	taxonomy_id	sra_run_id	bco_id	schema_version	analysis_platform	analysis_platform_object_id	bioproject	biosample	strain	ngs_read_file_name	ngs_read_file_source	ngs_gc_content	n_content	avg_phred_score	avg_read_length	max_read_length	min_read_length	num_reads_unique	pos_outlier_count	codon_table	percent_coding	percent_not_coding	density_n_per_read	complexity_percent	non_complex_percent	avg_quality_a	avg_quality_t	avg_quality_g	avg_quality_c	count_a	count_t	count_g	count_c	count_n	instrument	id_method	wgs_accession	strategy	ngs_score
Staphylococcus aureus	Beta-hemolytic; cream-yellow colony; TCH 959 (USA300-HOU-MS); ATCC BAA-1718	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	NA	1280	SRR1955583	ARGOS_000009	v1.4	PACBIO_SMRT	PL100039694-1_RS42150_20131218_B02_experiment	PRJNA231221	SRS895921	FDAARGOS_4	SRR1955583	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1955583/SRR1955583	49.28	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.66E+08	1.03E+08	97520734	1.63E+08	0	PACBIO_SMRT	phenotypic identification	NA	WGS	NA
Neisseria meningitidis	ATCC 53415D-5; [ATCC 13090]	cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	NA	487	SRR4272130	ARGOS_000009	v1.4	ILLUMINA	IL100051564_SN180_20141125_L7_experiment	PRJNA231221	SRS1704457	FDAARGOS_211	SRR4272130	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR4272130/SRR4272130	50.57	0.042929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.28E+08	4.24E+08	4.36E+08	4.36E+08	740609	ILLUMINA	Phenotypic identification	NA	WGS	NA
Klebsiella pneumoniae	clinical isolate	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella	NA	573	SRR2812575	ARGOS_000009	v1.4	PACBIO_SMRT	PL100041285C-1_RS42150_20140917_A01-2_experiment	PRJNA231221	SRS1133017	FDAARGOS_91	SRR2812575	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2812575/SRR2812575	55.38	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.83E+08	2.30E+08	3.02E+08	3.36E+08	0	PACBIO_SMRT	phenotypic identification	NA	WGS	NA
Dengue virus	DENV	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	NA	12637	SRR11453074	ARGOS_000009	v1.4	ILLUMINA	IL100120956_M01994_20190329_L1_experiment	PRJNA231221	SRS6403165	FDAARGOS_970	SRR11453074	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11453074/SRR11453074	44.58	0.000281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.41E+08	1.26E+08	1.08E+08	1.07E+08	1354	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Bacteroides caccae	DSM 19024	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	NA	47678	SRR12935228	ARGOS_000009	v1.4	PACBIO_SMRT	PL100132575-1_RS42150_20190802_G01-1_experiment	PRJNA231221	SRS7616982	FDAARGOS_1097	SRR12935228	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12935228/SRR12935228	42.24	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.35E+08	8.98E+08	6.91E+08	6.50E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	clinical isolate	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica; Salmonella enterica subsp. enterica serovar Typhimurium	NA	1620419	SRR5409209	ARGOS_000009	v1.4	PACBIO_SMRT	PL100057710-1_RS42150_20150716_A01-1_experiment	PRJNA231221	SRS2095415	FDAARGOS_318	SRR5409209	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR5409209/SRR5409209	51.53	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.94E+08	6.11E+08	6.88E+08	6.99E+08	0	PACBIO_SMRT	Phenotypic identification	NA	WGS	NA
Dengue virus	DENV	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	NA	12637	SRR11453060	ARGOS_000009	v1.4	ILLUMINA	IL100120940_M01994_20190329_L1_experiment	PRJNA231221	SRS6403151	FDAARGOS_956	SRR11453060	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11453060/SRR11453060	46.57	0.000146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44539674	41800760	37746365	37516855	236	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Venezuelan equine encephalitis virus	VEEV	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Martellivirales; Togaviridae; Alphavirus	NA	11036	SRR7167638	ARGOS_000009	v1.4	ILLUMINA	IL100063631_K00134_20151118_L8_experiment	PRJNA231221	SRS3302650	FDAARGOS_454	SRR7167638	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7167638/SRR7167638	48.89	0.009388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.78E+08	1.86E+08	1.81E+08	1.68E+08	66895	ILLUMINA	RT-PCR and amplicon sequencing	NA	WGS	NA
Pseudomonas aeruginosa		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group	NA	287	SRR8179283	ARGOS_000009	v1.4	ILLUMINA	IL100072811_K00134_20160719_L2_experiment	PRJNA231221	SRS4034218	FDAARGOS_505	SRR8179283	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8179283/SRR8179283	64.07	0.00608	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.52E+09	1.50E+09	2.69E+09	2.70E+09	511189	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Citrobacter werkmanii	clinical isolate	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex	NA	67827	SRR5866247	ARGOS_000009	v1.4	PACBIO_SMRT	PL100050100A-2_RS42150_20151002_B01-1_experiment	PRJNA231221	SRS2382839	FDAARGOS_364	SRR5866247	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR5866247/SRR5866247	51.85	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.87E+08	7.22E+08	8.22E+08	8.03E+08	0	PACBIO_SMRT	Phenotypic characterization	NA	WGS	NA
Nocardia asteroides	DSM 46010	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Corynebacteriales; Nocardiaceae; Nocardia	NA	1824	SRR16263439	ARGOS_000009	v1.4	PACBIO_SMRT	PL100169608-1_S54024R1_20210617_A01_bc1019-bc1019_experiment	PRJNA231221	SRS10502022	FDAARGOS_1485	SRR16263439	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16263439/SRR16263439	65.02	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.42E+08	2.59E+08	4.58E+08	4.73E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Aerococcus viridans	clinical isolate	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Aerococcaceae; Aerococcus	NA	1377	SRR4381669	ARGOS_000009	v1.4	ILLUMINA	IL100059406_K00134_20150612_L8_experiment	PRJNA231221	SRS1666094	FDAARGOS_249	SRR4381669	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR4381669/SRR4381669	39.44	0.063676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.49E+08	9.45E+08	6.20E+08	6.14E+08	1993344	ILLUMINA	Phenotypic identification	NA	WGS	NA
Granulicatella adiacens	DSM 9848	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae; Granulicatella	NA	46124	SRR16263411	ARGOS_000009	v1.4	ILLUMINA	IL100186132_A00904_20210610_L1_experiment	PRJNA231221	SRS10502002	FDAARGOS_1477	SRR16263411	https://storage.googleapis.com/nih-sequence-read-arc/run/SRR16263411/SRR16263411	37.89	0.000518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.53E+09	1.52E+09	9.33E+08	9.30E+08	25458	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Bacillus cereus		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	NA	1396	SRR9641652	ARGOS_000009	v1.4	ILLUMINA	IL100099133_K00134_20180223_L6_experiment	PRJNA231221	SRS5061498	FDAARGOS_780	SRR9641652	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9641652/SRR9641652	35.33	0.015763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.02E+09	1.02E+09	5.59E+08	5.60E+08	499171	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Ross River virus	RRV	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Martellivirales; Togaviridae; Alphavirus	NA	11029	SRR7167610	ARGOS_000009	v1.4	ILLUMINA	IL100074729_M00708_20160909_L1_experiment	PRJNA231221	SRS3302634	FDAARGOS_481	SRR7167610	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7167610/SRR7167610	48.82	0.008849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.33E+08	1.26E+08	1.22E+08	1.26E+08	44832	ILLUMINA	RT-PCR	NA	WGS	NA
Klebsiella oxytoca	clinical isolate	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella	NA	571	SRR5879429	ARGOS_000009	v1.4	ILLUMINA	IL100069076_K00134_20160408_L4_experiment	PRJNA231221	SRS2393785	FDAARGOS_432	SRR5879429	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR5879429/SRR5879429	53.3	0.032374	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.22E+08	7.18E+08	8.21E+08	8.24E+08	999204	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Klebsiella pneumoniae	KbGH0499	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella	NA	573	SRR13674236	ARGOS_000009	v1.4	PACBIO_SMRT	PL100141835-2_S54024R1_20200309_B01_bc1010-bc1010_experiment	PRJNA231221	SRS8225883	FDAARGOS_1321	SRR13674236	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13674236/SRR13674236	56.19	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.67E+08	4.98E+08	6.17E+08	6.21E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Mycobacterium avium subsp. avium		cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium avium complex (MAC); Mycobacterium avium	NA	44454	SRR17120861	ARGOS_000009	v1.4	PACBIO_SMRT	PL100198808-1_S64049_20211012_A01_bc1016-bc1016_experiment	PRJNA231221	SRS11214799	FDAARGOS_1609	SRR17120861	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR17120861/SRR17120861	65.65	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.27E+09	4.37E+09	8.11E+09	8.40E+09	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Ross River virus	RRV	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Martellivirales; Togaviridae; Alphavirus	NA	11029	SRR7167604	ARGOS_000009	v1.4	ILLUMINA	IL100074730_M00708_20160909_L1_experiment	PRJNA231221	SRS3302628	FDAARGOS_482	SRR7167604	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7167604/SRR7167604	49.31	0.007765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.35E+08	1.27E+08	1.25E+08	1.30E+08	40141	ILLUMINA	RT-PCR	NA	WGS	NA
Burkholderia cepacia	ATCC 25416, LMG 1222	cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia cepacia complex	NA	292	SRR5409221	ARGOS_000009	v1.4	PACBIO_SMRT	PL100061974-1_RS42150_20160225_C01-1_experiment	PRJNA231221	SRS2095421	FDAARGOS_345	SRR5409221	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR5409221/SRR5409221	64.05	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.09E+08	3.93E+08	7.61E+08	6.67E+08	0	PACBIO_SMRT	Phenotypic characterization	NA	WGS	NA
Enterobacter ludwigii	DSM 15213	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex	NA	299767	SRR16263405	ARGOS_000009	v1.4	PACBIO_SMRT	PL100169594-1_S54024R1_20210611_D01_bc1017-bc1017_experiment	PRJNA231221	SRS10501998	FDAARGOS_1475	SRR16263405	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16263405/SRR16263405	53.65	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.48E+08	2.66E+08	2.95E+08	3.00E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Escherichia coli		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	NA	562	SRR8180829	ARGOS_000009	v1.4	ILLUMINA	IL100072825_K00134_20160728_L4_experiment	PRJNA231221	SRS4035618	FDAARGOS_539	SRR8180829	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8180829/SRR8180829	49.9	0.018276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.43E+08	6.41E+08	6.38E+08	6.41E+08	468567	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Escherichia fergusonii	clinical isolate	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	NA	564	SRR2822475	ARGOS_000009	v1.4	PACBIO_SMRT	PL100045907-1_RS42150_20140925_C01-2_experiment	PRJNA231221	SRS1135217	FDAARGOS_170	SRR2822475	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2822475/SRR2822475	50.97	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.90E+08	3.03E+08	3.27E+08	3.93E+08	0	PACBIO_SMRT	phenotypic identification	NA	WGS	NA
Corynebacterium tuberculostearicum	DSM 44921	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Corynebacteriales; Corynebacteriaceae; Corynebacterium	NA	38304	SRR12825952	ARGOS_000009	v1.4	ILLUMINA	IL100133329_K00134_20190702_L3_experiment	PRJNA231221	SRS7519934	FDAARGOS_1055	SRR12825952	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12825952/SRR12825952	57.89	0.003585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.69E+08	5.64E+08	7.76E+08	7.81E+08	96461	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Psychrobacter cryohalolentis	ATCC BAA-1226D-5; K5; ATCC type strain; Can reproduce at -10┬░C, 39 day generation time; ATCC BAA-1226D-5; K5	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Psychrobacter	NA	330922	SRR5413292	ARGOS_000009	v1.4	PACBIO_SMRT	PL100054225-1_RS42150_20150526_E02-1_experiment	PRJNA231221	SRS2098889	FDAARGOS_308	SRR5413292	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR5413292/SRR5413292	42.27	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.89E+08	3.94E+08	2.92E+08	2.81E+08	0	PACBIO_SMRT	Culture	NA	WGS	NA
Bacteroides fragilis	DSM 9668	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	NA	817	SRR16259000	ARGOS_000009	v1.4	PACBIO_SMRT	PL100169572-1_S54024R1_20210526_A01_bc1009-bc1009_experiment	PRJNA231221	SRS10497991	FDAARGOS_1513	SRR16259000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR016/16259/SRR16259000/SRR16259000.1	43.5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.14E+08	6.55E+08	4.83E+08	4.94E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Anaerococcus murdochii	DSM 21462	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Tissierellia; Tissierellales; Peptoniphilaceae; Anaerococcus	NA	411577	SRR16251448	ARGOS_000009	v1.4	ILLUMINA	IL100186104_A00904_20210610_L1_experiment	PRJNA231221	SRS10490096	FDAARGOS_1460	SRR16251448	https://storage.googleapis.com/nih-sequence-read-arc/run/SRR16251448/SRR16251448	35.65	0.000541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.05E+09	1.04E+09	5.81E+08	5.78E+08	17592	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Staphylococcus aureus	10-275	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	NA	1280	SRR5878904	ARGOS_000009	v1.4	ILLUMINA	IL100066505_K00134_20160222_L5_experiment	PRJNA231221	SRS2393356	FDAARGOS_412	SRR5878904	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR5878904/SRR5878904	32.71	0.018129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.76E+09	1.75E+09	8.54E+08	8.51E+08	944934	ILLUMINA	Phenotypic characterization	NA	WGS	NA
Corynebacterium glucuronolyticum	DSM 44120	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Corynebacteriales; Corynebacteriaceae; Corynebacterium	NA	39791	SRR12825946	ARGOS_000009	v1.4	ILLUMINA	IL100133327_K00134_20190702_L3_experiment	PRJNA231221	SRS7519932	FDAARGOS_1053	SRR12825946	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12825946/SRR12825946	58.63	0.003572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.25E+08	4.20E+08	5.97E+08	6.01E+08	72980	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Bacteroides ovatus	DSM 1896	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	NA	28116	SRR16259014	ARGOS_000009	v1.4	PACBIO_SMRT	PL100169576-1_S54024R1_20210608_B01_bc1003-bc1003_experiment	PRJNA231221	SRS10498187	FDAARGOS_1516	SRR16259014	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16259014/SRR16259014	42.03	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.76E+08	8.21E+08	5.74E+08	5.84E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Citrobacter amalonaticus	clinical isolate	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter	NA	35703	SRR2822461	ARGOS_000009	v1.4	PACBIO_SMRT	PL100045900-1_RS42150_20140929_E01-2_experiment	PRJNA231221	SRS1135212	FDAARGOS_165	SRR2822461	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2822461/SRR2822461	52.35	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.04E+08	4.16E+08	4.80E+08	5.31E+08	0	PACBIO_SMRT	phenotypic identification	NA	WGS	NA
Streptococcus gordonii	clinical isolate	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	NA	1302	SRR4381682	ARGOS_000009	v1.4	ILLUMINA	IL100059390_K00134_20150612_L8_experiment	PRJNA231221	SRS1666164	FDAARGOS_257	SRR4381682	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR4381682/SRR4381682	40.14	0.063915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.76E+08	6.72E+08	4.55E+08	4.50E+08	1441112	ILLUMINA	Phenotypic identification	NA	WGS	NA
Listeria monocytogenes	B-33116, ATCC 19117, ZymoBIOMICSΓäó Microbial Community Standard	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Listeriaceae; Listeria	NA	1639	SRR9160376	ARGOS_000009	v1.4	PACBIO_SMRT	PL100089533-1_RS42150_20170707_D02-1_experiment	PRJNA231221	SRS4846655	FDAARGOS_607	SRR9160376	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9160376/SRR9160376	37.63	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.48E+08	3.79E+08	2.33E+08	2.05E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Leptospira interrogans serovar Copenhageni	ATCC BAA-1198D-5; Fiocruz L1-130	cellular organisms; Bacteria; Spirochaetes; Spirochaetia; Leptospirales; Leptospiraceae; Leptospira; Leptospira interrogans	NA	44275	SRR4272050	ARGOS_000009	v1.4	PACBIO_SMRT	PL100048441-1_RS42150_20141027_E03-1_experiment	PRJNA231221	SRS1704428	FDAARGOS_203	SRR4272050	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR4272050/SRR4272050	42.93	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.07E+08	1.80E+08	1.39E+08	1.52E+08	0	PACBIO_SMRT	Culture, repetitive element PCR	NA	WGS	NA
Acinetobacter baumannii	clinical isolate	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	NA	470	SRR2818919	ARGOS_000009	v1.4	PACBIO_SMRT	PL100045847-1_RS42150_20140826_D01-1_experiment	PRJNA231221	SRS1134874	FDAARGOS_123	SRR2818919	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2818919/SRR2818919	44.79	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.77E+08	2.35E+08	1.91E+08	2.24E+08	0	PACBIO_SMRT	phenotypic identification	NA	WGS	NA
Listeria monocytogenes		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Listeriaceae; Listeria	NA	1639	SRR8180815	ARGOS_000009	v1.4	ILLUMINA	IL100074865_K00134_20161007_L1_experiment	PRJNA231221	SRS4035613	FDAARGOS_554	SRR8180815	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8180815/SRR8180815	41.09	0.022613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.07E+09	1.03E+09	7.45E+08	7.23E+08	808160	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Enterococcus sp. FDAARGOS_163	clinical isolate	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; unclassified Enterococcus	NA	2060306	SRR2822449	ARGOS_000009	v1.4	ILLUMINA	IL100047578_SN7001163_20140926_L3_experiment	PRJNA231221	SRS1135208	FDAARGOS_163	SRR2822449	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2822449/SRR2822449	42.05	0.009991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.97E+08	2.96E+08	2.15E+08	2.15E+08	102321	ILLUMINA	phenotypic identification	NA	WGS	NA
Hafnia alvei	DSM 30099	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Hafniaceae; Hafnia	NA	569	SRR15076245	ARGOS_000009	v1.4	PACBIO_SMRT	PL100159587-1_S64018_20200923_C01_bc1008-bc1008_experiment	PRJNA231221	SRS9430933	FDAARGOS_1439	SRR15076245	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR15076245/SRR15076245	47.84	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.10E+09	2.00E+09	1.83E+09	1.94E+09	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Hafnia alvei		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Hafniaceae; Hafnia	NA	569	SRR12066797	ARGOS_000009	v1.4	PACBIO_SMRT	PL100049545-1_S54024R1_20180906_A01_experiment	PRJNA231221	SRS6885222	FDAARGOS_950	SRR12066797	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12066797/SRR12066797	49.14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.25E+08	2.42E+08	2.15E+08	2.36E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Neisseria meningitidis		cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	NA	487	SRR12047981	ARGOS_000009	v1.4	PACBIO_SMRT	PL100106279-2_RS42150_20180927_B01-1_experiment	PRJNA231221	SRS6868448	FDAARGOS_914	SRR12047981	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12047981/SRR12047981	50.98	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.62E+08	7.40E+08	8.16E+08	8.50E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
